nodes,layer
c_1010185,0
c_355461,0
c_278013,0
c_100976,0
c_1635,0
c_77250,0
c_161623,0
c_1421035,0
c_46727,0
c_1248154,0
c_345518,0
c_13767,0
c_14567,0
c_33272,0
c_164345,0
c_314262,0
c_124085,0
c_49201,0
c_111983,0
c_9886,0
c_336901,0
c_313964,0
c_425340,0
c_97630,0
c_10418,0
c_147885,0
c_360166,0
c_21784,0
c_5453,0
c_3156723,0
c_1020638,0
c_7891368,0
c_962438,0
c_1210501,0
c_934528,0
c_4165232,0
c_746902,0
c_1435126,0
c_36462,0
c_36333,0
c_5828,0
c_42832,0
c_5739041,0
c_8293,0
c_24306,0
c_236047,0
c_61140,0
c_1054034,0
c_333513,0
c_175208,0
c_9773791,0
c_11082783,0
c_862857,0
c_1563959,0
c_222357,0
c_355119,0
c_405979,0
c_161332,0
c_97845,0
c_182301,0
c_826587,0
c_10043,0
c_85848,0
c_241458,0
c_778667,0
c_52005,0
c_234638,0
c_587264,0
c_120936,0
c_19423,0
c_768661,0
c_54026,0
c_33979,0
c_242777,0
c_595596,0
c_142057,0
c_639284,0
c_731415,0
c_44590,0
c_28591,0
c_858352,0
c_14881,0
c_707151,0
c_277665,0
c_73367,0
c_991,0
c_625689,0
c_86732,0
c_564746,0
c_76447,0
c_5694708,0
c_10520,0
c_76137,0
c_850660,0
c_5827,0
c_37656,0
c_842965,0
c_204839,0
c_115998,0
c_6221,0
c_1178843,0
c_1491241,0
c_59713,0
c_2496929,0
c_133,0
c_575234,0
c_423487,0
c_561990,0
c_31469,0
c_106242,0
p_1447969,0
p_983872,0
p_940111,0
p_405195,0
p_257259,0
p_435634,0
p_1354052,0
p_2309091,0
p_298370,0
p_1867552,0
p_645950,0
p_986739,0
p_3142,0
p_1817404,0
p_971684,0
p_106623,0
p_12587847,0
p_195214,0
p_1019262,0
p_53793,0
p_521526,0
p_4101106,0
p_1374889,0
p_169160,0
p_163047,0
p_1686395,0
p_490589,0
p_197493,0
p_837209,0
p_12437762,0
p_58049801,0
p_19234434,0
p_133866,0
p_1378114,0
p_2996998,0
p_95526227,0
p_794659,0
p_152405,0
p_7057755,0
p_1360595,0
p_951680,0
p_47808,0
p_18466951,0
p_1724391,0
p_26571,0
p_2518034,0
p_18198646,0
p_2395488,0
p_118890,0
p_1689517,0
p_79525510,0
p_30629200,0
p_2510964,0
p_2668833,0
p_548803,0
p_48004296,0
p_580633,0
p_741705,0
p_26116053,0
p_2999,0
p_1944558,0
p_34215,0
p_27526,0
p_469378,0
p_852788,0
p_2357776,0
p_184935,0
p_501746,0
p_43662,0
p_62602,0
p_833466,0
p_1491590,0
p_2526344,0
p_34347681,0
p_515552,0
p_1108419,0
p_592509,0
p_1374500,0
p_12070,0
p_199077,0
p_1012085,0
p_61840,0
p_2556040,0
p_954185,0
p_31804444,0
p_133320,0
p_568438,0
p_302047,0
p_454468,0
p_1607499,0
p_12620462,0
p_1078218,0
p_296854,0
p_174946161,0
p_7241,0
p_535368,0
p_290855,0
p_347120,0
p_947443,0
p_1906452,0
p_2096364,0
p_2473642,0
p_31416,0
p_5190307,0
p_14,0
p_1642252,0
p_198202,0
p_979817,0
p_609739,0
p_98456,0
